column,min,max,width,hidden,best_fit,outline_level,collapsed,style_id,custom_width
DCU,2803,2803,21.21875,False,False,0,False,169,True
DCV,2804,3044,9.21875,False,False,0,False,169,True
DMC,3045,3045,2.77734375,False,False,0,False,169,True
DMD,3046,3046,7.21875,False,False,0,False,169,True
DME,3047,3047,23.77734375,False,False,0,False,169,True
DMF,3048,3048,17.21875,False,False,0,False,169,True
DMG,3049,3049,15.0,False,False,0,False,169,True
DMH,3050,3050,18.77734375,False,True,0,False,169,True
DMI,3051,3051,15.21875,False,False,0,False,169,True
DMJ,3052,3052,9.77734375,False,False,0,False,169,True
DMK,3053,3053,41.21875,False,False,0,False,169,True
DML,3054,3054,41.44140625,False,False,0,False,169,True
DMM,3055,3056,22.44140625,False,False,0,False,169,True
DMO,3057,3057,30.44140625,False,False,0,False,169,True
DMP,3058,3058,33.21875,False,False,0,False,169,True
DMQ,3059,3059,21.21875,False,False,0,False,169,True
DMR,3060,3300,9.21875,False,False,0,False,169,True
DVY,3301,3301,2.77734375,False,False,0,False,169,True
DVZ,3302,3302,7.21875,False,False,0,False,169,True
DWA,3303,3303,23.77734375,False,False,0,False,169,True
DWB,3304,3304,17.21875,False,False,0,False,169,True
DWC,3305,3305,15.0,False,False,0,False,169,True
DWD,3306,3306,18.77734375,False,True,0,False,169,True
DWE,3307,3307,15.21875,False,False,0,False,169,True
DWF,3308,3308,9.77734375,False,False,0,False,169,True
DWG,3309,3309,41.21875,False,False,0,False,169,True
DWH,3310,3310,41.44140625,False,False,0,False,169,True
DWI,3311,3312,22.44140625,False,False,0,False,169,True
DWK,3313,3313,30.44140625,False,False,0,False,169,True
DWL,3314,3314,33.21875,False,False,0,False,169,True
DWM,3315,3315,21.21875,False,False,0,False,169,True
DWN,3316,3556,9.21875,False,False,0,False,169,True
EFU,3557,3557,2.77734375,False,False,0,False,169,True
EFV,3558,3558,7.21875,False,False,0,False,169,True
EFW,3559,3559,23.77734375,False,False,0,False,169,True
EFX,3560,3560,17.21875,False,False,0,False,169,True
EFY,3561,3561,15.0,False,False,0,False,169,True
EFZ,3562,3562,18.77734375,False,True,0,False,169,True
EGA,3563,3563,15.21875,False,False,0,False,169,True
EGB,3564,3564,9.77734375,False,False,0,False,169,True
EGC,3565,3565,41.21875,False,False,0,False,169,True
EGD,3566,3566,41.44140625,False,False,0,False,169,True
EGE,3567,3568,22.44140625,False,False,0,False,169,True
EGG,3569,3569,30.44140625,False,False,0,False,169,True
EGH,3570,3570,33.21875,False,False,0,False,169,True
EGI,3571,3571,21.21875,False,False,0,False,169,True
EGJ,3572,3812,9.21875,False,False,0,False,169,True
EPQ,3813,3813,2.77734375,False,False,0,False,169,True
EPR,3814,3814,7.21875,False,False,0,False,169,True
EPS,3815,3815,23.77734375,False,False,0,False,169,True
EPT,3816,3816,17.21875,False,False,0,False,169,True
EPU,3817,3817,15.0,False,False,0,False,169,True
EPV,3818,3818,18.77734375,False,True,0,False,169,True
EPW,3819,3819,15.21875,False,False,0,False,169,True
EPX,3820,3820,9.77734375,False,False,0,False,169,True
EPY,3821,3821,41.21875,False,False,0,False,169,True
EPZ,3822,3822,41.44140625,False,False,0,False,169,True
EQA,3823,3824,22.44140625,False,False,0,False,169,True
EQC,3825,3825,30.44140625,False,False,0,False,169,True
EQD,3826,3826,33.21875,False,False,0,False,169,True
EQE,3827,3827,21.21875,False,False,0,False,169,True
EQF,3828,4068,9.21875,False,False,0,False,169,True
EZM,4069,4069,2.77734375,False,False,0,False,169,True
EZN,4070,4070,7.21875,False,False,0,False,169,True
